dz,dz,ar,ar,au,br,br,cl,cl,cn,cn,cn,co,co,do,do,eg,eg,fr,fr,de,de,gr,gr,gt,gt,hu,hu,in,id,id,it,it,jp,jp,ke,kr,kr,my,my,my,mx,mx,ma,ma,ng,pe,pe,ph,ph,pl,pl,ro,ro,ru,ru,sa,sa,sg,sg,sg,za,es,es,se,se,ch,ch,ch,ch,tw,tw,tw,th,th,tr,tr,ae,ae,ua,ua,us,vn,vn
en,ar,en,es,en,en,pt,en,es,en,zh-CN,zh-TW,en,es,en,es,en,ar,en,fr,en,de,en,el,en,es,en,hu,en,en,id,en,it,en,ja,en,en,ko,en,ms,zh-CN,en,es,en,ar,en,en,es,en,tl,en,pl,en,ro,en,ru,en,ar,en,ms,zh-CN,en,en,es,en,sv,en,de_ch,fr,it,en,zh-TW,ch-CN,en,th,en,tr,en,ar,en,uk,en,en,vi
Adrar,ولاية أدرا,Buenos Aires,Buenos Aires,Ashmore and Cartier Islands,Acre,Acre,Antofagasta,Antofagasta,Anhui,安徽|安徽,安徽|安徽,Amazonas,Amazonas,Azua,Azua,Ad Daqahliyah,الدقهلية,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Baden-Württemberg,Baden-Württemberg,Aegean,Αιγαίο,Alta Verapaz,Alta Verapaz,Bács-Kiskun,Bács-Kiskun,Andaman and Nicobar,Aceh,Aceh,Abruzzo,Abruzzo,Aichi,愛知県,Baringo,Busan,부산광역시,Johor,Johor,柔佛,Aguascalientes,Aguascalientes,Chaouia - Ouardigha,الشاوية - ورديغة,Abia,Amazonas,Amazonas,Abra,Abra,Dolnośląskie,Dolnośląskie,Alba,Alba,Adygey,Республика Адыгея,Asir,عَسِيرٌ,Central,Central,中区,Eastern Cape,Andalucía,Andalucía,Blekinge,Blekinge,Aargau,Aargau,Aargau,Aargau,Kaohsiung,高雄,高雄,Amnat Charoen,จังหวัดอำนาจเจริญ,Adana,Adana,Abu Dhabi,إمارة أبوظبي,Cherkasy,Черкаська,Alabama,An Giang,An Giang
Aïn Defla,ولاية عين الدفلى,Catamarca,Catamarca,Australian Capital Territory,Alagoas,Alagoas,Araucanía,Araucanía,Beijing,北京|北京,北京|北京,Antioquia,Antioquia,Bahoruco,Bahoruco,Al Bahr al Ahmar,محافظة البحر الأحمر,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,Bavaria,Bayern,Athos,Άθως,Baja Verapaz,Baja Verapaz,Baranya,Baranya,Andhra Pradesh,Bali,Bali,Apulia,Apulia,Akita,秋田県,Bomet,Chungcheongbuk-do,충청북도,Kedah,Kedah,吉打,Baja California,Baja California,Doukkala - Abda,الدكالة - أبْداء,Adamawa,Ancash,Ancash,Agusan del Norte,Agusan del Norte,Kujawsko-Pomorskie,Kujawsko-Pomorskie,Arad,Arad,Altay,Алтайский край,Al Bahah,ٱلْبَاحَة‎,East,Timur,东区,Free State,Aragón,Aragón,Dalarna,Dalarna,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Ausserrhoden,New Taipei,新北,新北,Ang Thong,จังหวัดอ่างทอง,Adiyaman,Adiyaman,Ajman,عجمان,Chernihiv,Чернігівська,Alaska,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu
Aïn Témouchent,ولاية عين تموشنت,Chaco,Chaco,Coral Sea Islands Territory,Amapá,Amapá,Arica y Parinacota,Arica y Parinacota,Chongqing,重慶|重庆,重慶|重慶,Arauca,Arauca,Barahona,Barahona,Al Buhayrah,البحيرة,Bretagne,Bretagne,Berlin,Berlin,Attica,Αττική,Chimaltenango,Chimaltenango,Békés,Békés,Arunachal Pradesh,Bangka Belitung,Bangka Belitung,Basilicata,Basilicata,Aomori,青森県,Bungoma,Chungcheongnam-do,충청남도,Kelantan,Kelantan,吉兰丹,Baja California Sur,Baja California Sur,Fès - Boulemane,فاس - بولمان,Akwa Ibom,Apurímac,Apurímac,Agusan del Sur,Agusan del Sur,Łódzkie,Łódzkie,Argeș,Argeș,Amur,Амурская область,Al Hudud ash Shamaliyah,الحدود الشمالية,North,Utara,北区,Gauteng,Cantabria,Cantabria,Gävleborg,Gävleborg,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Innerrhoden,Taichung,臺中,台中,Bangkok Metropolis,จังหวัดเชียงใหม่,Afyon,Afyon,Dubai,دبي,Chernivtsi,Чернівецька,Arizona,Bắc Giang,Bắc Giang
Alger,ولاية الجزائر,Chubut,Chubut,Jervis Bay Territory,Amazonas,Amazonas,Atacama,Atacama,Fujian,福建,福建,Atlántico,Atlántico,Dajabón,Dajabón,Al Fayyum,محافظة الفيوم,Centre-Val de Loire,Centre-Val de Loire,Brandenburg,Brandenburg,Crete,Κρήτη,Chiquimula,Chiquimula,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén,Assam,Banten,Banten,Calabria,Calabria,Chiba,千葉県,Busia,Daegu,대구광역시,Kuala Lumpur,Kuala Lumpur,吉隆坡,Campeche,Campeche,Gharb - Chrarda - Béni Hssen,غرب - شراط - بني حسن,Anambra,Arequipa,Arequipa,Aklan,Aklan,Lubelskie,Lubelskie,Bacău,Bacău,Arkhangel'sk,Архангельская область,Al Jawf,منطقة الجوف,North-East,Timur Laut,东北区,KwaZulu-Natal,Castilla-La Mancha,Castilla-La Mancha,Gotland,Gotland,Basel-Landschaft,Basel-Landschaft,Basel-Landschaft,Basel-Landschaft,Tainan,臺南,台南,Bueng Kan,บึงกาฬ,Agri,Agri,Fujairah,الفجيرة,Crimea,Крим,Arkansas,Bắc Kạn,Bắc Kạn
Annaba,ولاية عنابة,Ciudad de Buenos Aires,Ciudad de Buenos Aires,New South Wales,Bahia,Bahia,Aysén del General Ibañez del Cam,Aysén del General Ibañez del Cam,Gansu,甘肅|甘肃,甘肅|甘肅,Bogotá D.C.,Bogotá D.C.,Distrito Nacional,Distrito Nacional,Al Gharbiyah,محافظة الغربية,Corsica,Corse,Bremen,Bremen,Epirus and Western Macedonia,Ήπειρος και Δυτική Μακεδονία,El Progreso,El Progreso,Budapest,Budapest,Bihar,Bengkulu,Bengkulu,Campania,Campania,Ehime,愛媛県,Elgeyo-Marakwet,Daejeon,대전광역시,Labuan,Labuan,纳闽,Chiapas,Chiapas,Grand Casablanca,الدار البيضاء الكبرى,Bauchi,Ayacucho,Ayacucho,Albay,Albay,Lubuskie,Lubuskie,Bihor,Bihor,Astrakhan',Астраханская область,Al Madinah,المدينة,West,Barat,西区,Limpopo,Castilla y León,Castilla y León,Halland,Halland,Basel-Stadt,Basel-Stadt,Basel-Stadt,Basel-Stadt,Taipei,臺北,台北,Buri Ram,จังหวัดบุรีรัมย์,Aksaray,Aksaray,Ras Al-Khaimah,رأس الخيمة,Dnipropetrovs'k,Дніпропетро́вська,California,Bạc Liêu,Bạc Liêu
Batna,ولاية باتنة,Córdoba,Córdoba,Northern Territory,Ceará,Ceará,Bío-Bío,Bío-Bío,Guangdong,廣東|广东,廣東|廣東,Bolívar,Bolívar,Duarte,Duarte,Al Iskandariyah,محافظة الإسكندرية,Grand Est,Grand Est,Hamburg,Hamburg,Macedonia and Thrace,Μακεδονία και Θράκη,Escuintla,Escuintla,Csongrád,Csongrád,Chandigarh,Gorontalo,Gorontalo,Emilia-Romagna,Emilia-Romagna,Fukui,福井県,Embu,Gangwon-do,강원도,Melaka,Melaka,马六甲,Chihuahua,Chihuahua,Guelmim - Es-Semara,كلميم - السمارة,Bayelsa,Cajamarca,Cajamarca,Antique,Antique,Małopolskie,Małopolskie,Bistrița-Năsăud,Bistrița-Năsăud,Bashkortostan,Республика Башкортостан,Al Qassim,القصيم‎,,,,Mpumalanga,Cataluña,Cataluña,Jämtland,Jämtland,Bern,Bern,Bern,Bern,"Fujian (Kinmen, Matsu, Wuqiu islands)",福建（金門、馬祖、龜屿群島）,福建（金门、马祖、龟屿群岛）,Chachoengsao,จังหวัดฉะเชิงเทรา,Amasya,Amasya,Sharjah,الشارقة,Donets'k,Доне́цька,Colorado,Bắc Ninh,Bắc Ninh
Béchar,ولاية بشار,Corrientes,Corrientes,Queensland,Distrito Federal,Distrito Federal,Coquimbo,Coquimbo,Guangxi,廣西壯族自治區|广西壮族自治区,廣西壯族自治區|廣西壯族自治區,Boyacá,Boyacá,El Seybo,El Seybo,Al Isma`iliyah,محافظة الإسماعيلية,Hauts-de-France,Hauts-de-France,Hesse,Hessen,"Peloponnese, Western Greece and","Πελοπόννησος, Δυτική Ελλάδα και",Guatemala,Guatemala,Fejér,Fejér,Chhattisgarh,Jakarta Raya,Jakarta Raya,Friuli-Venezia Giulia,Friuli-Venezia Giulia,Fukuoka,福岡県,Garissa,Gwangju,광주광역시,Negeri Sembilan,Negeri Sembilan,森美兰,Coahuila,Coahuila,Laâyoune - Boujdour - Sakia El H,العيون - بوجدور - الساقية الحمراء,Benue,Callao,Callao,Apayao,Apayao,Mazowieckie,Mazowieckie,Botoșani,Botoșani,Belgorod,Белгородская область,Ar Riyad,الرياض‎,,,,North West,Ceuta y Melilla,Ceuta y Melilla,Jönköping,Jönköping,Fribourg,Fribourg,Fribourg,Fribourg,,,,Chai Nat,จังหวัดชัยนาท,Ankara,Ankara,Umm al-Qaywayn,أم القيوين,Ivano-Frankivs'k,Івано-Франківська,Connecticut,Bến Tre,Bến Tre
Béjaïa,بجاية,Entre Ríos,Entre Ríos,South Australia,Espírito Santo,Espírito Santo,Libertador General Bernardo O'Hi,Libertador General Bernardo O'Hi,Guizhou,貴州|贵州,貴州|貴州,Caldas,Caldas,Espaillat,Espaillat,Al Jizah,الجيزة,Île-de-France,Île-de-France,Mecklenburg-West Pomerania,Mecklenburg-Vorpommern,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,Huehuetenango,Huehuetenango,Gyor-Moson-Sopron,Gyor-Moson-Sopron,Dadra and Nagar Haveli,Jambi,Jambi,Lazio,Lazio,Fukushima,福島県,Homa Bay,Gyeonggi-do,경기도,Pahang,Pahang,彭亨,Colima,Colima,Marrakech - Tensift - Al Haouz,مراكش - تانسيفت - الحوز,Borno,Cusco,Cusco,Aurora,Aurora,Opolskie,Opolskie,Brăila,Brăila,Bryansk,Брянская область,Ash-Sharqīyah,الشرقية‎,,,,Northern Cape,Comunidad de Madrid,Comunidad de Madrid,Kalmar,Kalmar,Genève,Genève,Genève,Genève,,,,Chaiyaphum,จังหวัดชัยนาท,Antalya,Antalya,,,Kharkiv,Харківська,Delaware,Bình Định,Bình Định
Biskra,ولاية بسكرة,Formosa,Formosa,Tasmania,Goiás,Goiás,Los Lagos,Los Lagos,Hainan,海南,海南,Caquetá,Caquetá,Hato Mayor,Hato Mayor,Al Minufiyah,محافظة المنوفية,Normandie,Normandie,Lower Saxony,Niedersachsen,,,Izabal,Izabal,Hajdú-Bihar,Hajdú-Bihar,Daman and Diu,Jawa Barat,Jawa Barat,Liguria,Liguria,Gifu,岐阜県,Isiolo,Gyeongsangbuk-do,경상북도,Perak,Perak,霹雳,Distrito Federal,Distrito Federal,Meknès - Tafilalet,مكناس - تافيلالت,Cross River,Huancavelica,Huancavelica,Basilan,Basilan,Podkarpackie,Podkarpackie,Brașov,Brașov,Buryat,Республика Бурятия,Ḥaʼil,حَائِل‎,,,,Western Cape,Comunidad Foral de Navarra,Comunidad Foral de Navarra,Kronoberg,Kronoberg,Glarus,Glarus,Glarus,Glarus,,,,Chanthaburi,จันทบุรี,Ardahan,Ardahan,,,Kherson,Херсонська,District of Columbia,Bình Dương,Bình Dương
Blida,البليدة,Jujuy,Jujuy,Victoria,Maranhão,Maranhão,Los Ríos,Los Ríos,Hebei,河北,河北,Casanare,Casanare,Independencia,Independencia,Al Minya,المنيا,Nouvelle-Aquitaine,Nouvelle-Aquitaine,North Rhine-Westphalia,Nordrhein-Westfalen,,,Jalapa,Jalapa,Heves,Heves,Goa,Jawa Tengah,Jawa Tengah,Lombardia,Lombardia,Gunma,群馬県,Kajiado,Gyeongsangnam-do,경상남도,Perlis,Perlis,玻璃市,Durango,Durango,Oriental,الشرق,Delta,Huánuco,Huánuco,Bataan,Bataan,Podlaskie,Podlaskie,Bucharest,Bucharest,Chechnya,Республика Чечено-Ингушская,Jizan,جيزان‎,,,,,Comunidad Valenciana,Comunidad Valenciana,Norrbotten,Norrbotten,Graubünden,Graubünden,Graubünden,Graubünden,,,,Chiang Mai,จังหวัดเชียงใหม่,Artvin,Artvin,,,Khmel'nyts'kyy,Хмельницька,Florida,Bình Phước,Bình Phước
Bordj Bou Arréridj,ولاية برج بوعريريج,La Pampa,La Pampa,Western Australia,Mato Grosso,Mato Grosso,Magallanes y Antártica Chilena,Magallanes y Antártica Chilena,Heilongjiang,黑龙江省|黑龍江省,黑龍江省|黑龍江省,Cauca,Cauca,La Altagracia,La Altagracia,Al Qahirah,القاهرة,Occitanie,Occitanie,Rhineland-Palatinate,Rheinland-Pfalz,,,Jutiapa,Jutiapa,Jász-Nagykun-Szolnok,Jász-Nagykun-Szolnok,Gujarat,Jawa Timur,Jawa Timur,Marche,Marche,Hiroshima,広島県,Kakamega,Incheon,인천광역시,Pulau Pinang,Pulau Pinang,槟城,Guanajuato,Guanajuato,Rabat - Salé - Zemmour - Zaer,الرباط - سلا - زمور - زعير,Ebonyi,Ica,Ica,Batanes,Batanes,Pomorskie,Pomorskie,Buzău,Buzău,Chelyabinsk,Челябинская область,Makkah,مَكَّة‎,,,,,Extremadura,Extremadura,Orebro,Orebro,Jura,Jura,Jura,Jura,,,,Chiang Rai,จังหวัดเชียงราย,Aydin,Aydin,,,Kiev,Київська,Georgia,Bình Thuận,Bình Thuận
Bouira,ولاية البويرة,La Rioja,La Rioja,,Mato Grosso do Sul,Mato Grosso do Sul,Maule,Maule,Henan,河南,河南,Cesar,Cesar,La Estrelleta,La Estrelleta,Al Qalyubiyah,محافظة القليوبية,Pays de la Loire,Pays de la Loire,Saarland,Saarland,,,Petén,Petén,Komárom-Esztergom,Komárom-Esztergom,Haryana,Kalimantan Barat,Kalimantan Barat,Molise,Molise,Hokkaido,北海道,Kericho,Jeju,제주특별자치도,Putrajaya,Putrajaya,布城,Guerrero,Guerrero,Souss - Massa - Draâ,سوس - ماسة - درعة,Edo,Junín,Junín,Batangas,Batangas,Śląskie,Śląskie,Călărași,Călărași,Chukot,Чукотский АОк,Najran,نجران‎,,,,,Galicia,Galicia,Östergötland,Östergötland,Lucerne,Lucerne,Lucerne,Lucerne,,,,Chon Buri,จังหวัดชลบุรี,Balikesir,Balikesir,,,Kiev City,Київ,Hawaii,Cà Mau,Cà Mau
Boumerdès,ولاية بومرداس,Mendoza,Mendoza,,Minas Gerais,Minas Gerais,Ñuble,Ñuble,Hong Kong,香港,香港,Chocó,Chocó,La Romana,La Romana,Al Uqsur,الأقصر,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,Saxony,Sachsen,,,Quezaltenango,Quezaltenango,Nógrád,Nógrád,Himachal Pradesh,Kalimantan Selatan,Kalimantan Selatan,Piemonte,Piemonte,Hyōgo,兵庫県,Kiambu,Jeollabuk-do,전라북도,Sabah,Sabah,沙巴,Hidalgo,Hidalgo,Tadla - Azilal,تادلة - أزيلال,Ekiti,La Libertad,La Libertad,Benguet,Benguet,Świętokrzyskie,Świętokrzyskie,Caraș-Severin,Caraș-Severin,Chuvash,Чувашская Республика,Tabuk,تَبُوْك‎,,,,,Islas Baleares,Islas Baleares,Skåne,Skåne,Neuchâtel,Neuchâtel,Neuchâtel,Neuchâtel,,,,Chumphon,จังหวัดชุมพร,Bartın,Bartın,,,Kirovohrad,Кіровоградська,Idaho,Cần Thơ,Cần Thơ
Chlef,ولاية الشلف,Misiones,Misiones,,Pará,Pará,Santiago Metropolitan,Santiago Metropolitan,Hubei,湖北,湖北,Córdoba,Córdoba,La Vega,La Vega,Al Wadi al Jadid,محافظة الوادي الجديد‎,,,Saxony-Anhalt,Sachsen-Anhalt,,,Quiché,Quiché,Pest,Pest,Jharkhand,Kalimantan Tengah,Kalimantan Tengah,Sardegna,Sardegna,Ibaraki,茨城県,Kilifi,Jeollanam-do,전라남도,Sarawak,Sarawak,砂拉越,Jalisco,Jalisco,Tanger - Tétouan,طنجة - تطوان,Enugu,Lambayeque,Lambayeque,Biliran,Biliran,Warmińsko-Mazurskie,Warmińsko-Mazurskie,Cluj,Cluj,City of St. Petersburg,Санкт-Петербург (горсовет),,,,,,,Islas Canarias,Islas Canarias,Södermanland,Södermanland,Nidwalden,Nidwalden,Nidwalden,Nidwalden,,,,Kalasin,จังหวัดกาฬสินธุ์,Batman,Batman,,,L'viv,Львів,Illinois,Cao Bằng,Cao Bằng
